,Name,Text,Date,Likes
0,"Snehil Singh <span class=""Emoji Emoji--forLinks"" style=""background-image:url('https://abs.twimg.com/emoji/v2/72x72/1f1ee-1f1f3.png')"" title=""Flag of India"" aria-label=""Emoji: Flag of India"">&nbsp;</span><span class=""visuallyhidden"" aria-hidden=""true"">🇮🇳</span>","Tributes to the greatest Hindu warrior <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> , protector of Hindus and Hinduism, a proud son of soil , a great patriot , a true visionary and an inspiration for many! 

<a href=""/hashtag/ShivajiJayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiJayanti</b></a> 
<a href=""/hashtag/ShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiMaharaj</b></a><a href=""https://t.co/XftozlyRG6"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/XftozlyRG6</a>",23h,
1,"Dipanto Sen <span class=""Emoji Emoji--forLinks"" style=""background-image:url('https://abs.twimg.com/emoji/v2/72x72/1f1ee-1f1f3.png')"" title=""Flag of India"" aria-label=""Emoji: Flag of India"">&nbsp;</span><span class=""visuallyhidden"" aria-hidden=""true"">🇮🇳</span>","Respectful homage to <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a>, the great Maratha king, on his birth <a href=""/hashtag/anniversary?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>anniversary</b></a><a href=""https://t.co/cLV8O6Lo96"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/cLV8O6Lo96</a>",Feb 18,
2,"Virendra Pandey<span class=""Emoji Emoji--forLinks"" style=""background-image:url('https://abs.twimg.com/emoji/v2/72x72/1f1ee-1f1f3.png')"" title=""Flag of India"" aria-label=""Emoji: Flag of India"">&nbsp;</span><span class=""visuallyhidden"" aria-hidden=""true"">🇮🇳</span>","Tributes to the Great Patriot, Brave Warrior and True Visionary Chhatrapati Shivaji Maharaj. 
He dedicated his life in creating the people's Kingdom, ""Swarajya""
<a href=""/hashtag/%E0%A4%B6%E0%A4%BF%E0%A4%B5%E0%A4%9C%E0%A4%AF%E0%A4%82%E0%A4%A4%E0%A5%80?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>शिवजयंती</b></a> <a href=""/hashtag/%E0%A4%9C%E0%A4%AF_%E0%A4%B6%E0%A4%BF%E0%A4%B5%E0%A4%B0%E0%A4%BE%E0%A4%AF?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>जय_शिवराय</b></a> <img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f64f.png"" draggable=""false"" alt=""🙏"" title=""Person with folded hands"" aria-label=""Emoji: Person with folded hands"">
<a href=""/hashtag/Shivajijayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Shivajijayanti</b></a> <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> <a href=""https://t.co/IVe9u4OUzX"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/IVe9u4OUzX</a>",23h,
3,WTX,"The <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> International Airport, <a href=""/hashtag/Mumbai?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Mumbai</b></a> won’t experience its usual rush as fliers are expected to see disruptions between 7th February and 30th March, 2019 due to extensive runway repairs.
Read full report: <a href=""https://t.co/1X3R9098SX"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""https://bit.ly/2Uxiada"" class=""twitter-timeline-link"" target=""_blank"" title=""https://bit.ly/2Uxiada""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">bit.ly/2Uxiada</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible"">&nbsp;</span></span></a><a href=""https://t.co/5HmeLEJ5Pt"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/5HmeLEJ5Pt</a>",Feb 12,
4,"Invisiblesky <span class=""Emoji Emoji--forLinks"" style=""background-image:url('https://abs.twimg.com/emoji/v2/72x72/1f468-1f3fb-200d-1f3a8.png')"" title=""Male artist (light skin tone)"" aria-label=""Emoji: Male artist (light skin tone)"">&nbsp;</span><span class=""visuallyhidden"" aria-hidden=""true"">👨🏻‍🎨</span>","Chhatrapati Shivaji Maharaj was an epitome of courage, valour and compassion. He served the people by upholding truth and justice. Shivaji will always remain an inspiration for the people of India.
<a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a>",23h,
5,Rahul Kumar,"Paying rich tributes to the Warrior King <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a>, the founder of the Maratha Kingdom on his birth anniversary today.

He was born on 19th February, 1630 in the prestigious Shivneri Fort.

He was a natural leader, fighter and a renowned civil administrator. <a href=""https://t.co/QrDAdMuVEn"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/QrDAdMuVEn</a>",20h,1
6,Siddharth Jain,"I bow to <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> on his birth anniversary 
A warrior for truth and justice, he is revered as an ideal ruler, devout patriot and is particularly respected by the poor and downtrodden.
<a href=""/hashtag/JaiBhavani?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>JaiBhavani</b></a> <a href=""/hashtag/JaiShivaji?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>JaiShivaji</b></a>
<a href=""/hashtag/ShivajiJayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiJayanti</b></a> <a href=""/hashtag/ShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiMaharaj</b></a>",19h,
7,"Dr.Hiriyappa.B, Ph.D.","ದೇಶ ಕಂಡ ಅಪ್ರತಿಮ ವೀರ ಛತ್ರಪತಿ ಶಿವಾಜಿ ಮಹಾರಾಜ

I bow to the great son of India, <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> on his jayanti. An epitome of courage and bravery, he was a classic example of bringing unity and sovereignty in diversified Indian society.

<a href=""/hashtag/ShivajiJayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiJayanti</b></a> <a href=""/hashtag/Shivaji?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Shivaji</b></a>",23h,
8,everydayeverythingofficial,"On 389th birth anniversary of Chhatrapati Shivaji, we salute the fierce, fearless &amp; patriotic Sons of our country, who fight to protect our fellow citizens. <a href=""/hashtag/rememberingpulwama?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>rememberingpulwama</b></a>
Best wishes for <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> Jayanti.
<a href=""/hashtag/PulwamaAttack?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>PulwamaAttack</b></a> <a href=""/hashtag/eeo?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>eeo</b></a> <a href=""/hashtag/everydayeverything?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>everydayeverything</b></a>",22h,
9,Prachetan Potadar,"<a href=""/hashtag/ShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiMaharaj</b></a>  known for his warfare strategies, administrative skills, progressive outlook &amp; respect for women. His life, and his legendary acts of bravery will continue to inspire every Indian.

About <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> on <a href=""/hashtag/shivjayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>shivjayanti</b></a>",19h,
