,Text,Date,Likes
0,"India is delighted to welcome HRH Mohammed Bin Salman, the Crown Prince of Saudi Arabia.<a href=""https://t.co/wBK1F1UZAA"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/wBK1F1UZAA</a>",3h,1.3K
1,"Memorable moments from the public meeting in Varanasi.<a href=""https://t.co/Hw2O4A3FBD"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/Hw2O4A3FBD</a>",4h,551
2,"हमारी सरकार देश के विकास को दो पटरियों पर एक साथ आगे बढ़ा रही है।

पहली पटरी है इंफ्रास्ट्रक्चर।

दूसरी पटरी गरीब, किसान, श्रमिक, मध्यम वर्ग का जीवन आसान बनाने की है।<a href=""https://t.co/lBGlU6bYxf"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/lBGlU6bYxf</a>",4h,821
3,"Remarkable strides in the IT and health sector, that will benefit Uttar Pradesh, especially Purvanchal.<a href=""https://t.co/peDM98XDAO"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/peDM98XDAO</a>",4h,180
4,"In Varanasi, flagged off the first ever Diesel to Electric Converted Locomotive. 

I congratulate the entire team that has worked on this historic accomplishment, which will enhance the efforts of the Railways towards electrification.<a href=""https://t.co/0VmNI6BReF"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/0VmNI6BReF</a>",4h,222
5,"Today, on the auspicious occasion of Ravidas Jayanti, offered prayers at the Shri Guru Ravidass Janam Asthan. 

Guru Ravidas’ message of harmony, equality and efforts to empower the poor continue to motivate people across India.<a href=""https://t.co/xSxBiHQ62M"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/xSxBiHQ62M</a>",4h,291
6,"परम पूज्य संत रविदास जी को उनकी जयंती पर कोटि-कोटि नमन। सद्भाव, समानता और सामाजिक सशक्तिकरण के लिए उन्होंने जो अनमोल एवं अमिट संदेश दिया, वह हमें सदा प्रेरित करता रहेगा।<a href=""https://t.co/Y8fF7Y4p3O"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/Y8fF7Y4p3O</a>",18h,1.1K
7,"I bow to Chhatrapati Shivaji Maharaj on his Jayanti. 

A warrior for truth and justice, he is revered as an ideal ruler, devout patriot and is particularly respected by the poor and downtrodden. Jai Shivaji!<a href=""https://t.co/VUrv3e3TUk"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/VUrv3e3TUk</a>",18h,1.3K
8,"Today, ten MoUs were signed between India and Argentina. 

Covering sectors such as defence, tourism, pharmaceuticals, agriculture, IT and civil nuclear cooperation, these agreements will further cement relations between our nations. <a href=""/mauriciomacri"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""24900072""><s>@</s><b>mauriciomacri</b></a><a href=""https://t.co/VPPY43rR30"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/VPPY43rR30</a>",Feb 18,390
9,"During the talks today, President <a href=""/mauriciomacri"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""24900072""><s>@</s><b>mauriciomacri</b></a> and I discussed ways to deepen trade ties. The coming of a large Argentinian business delegation to India augurs well for strong economic relations.<a href=""https://t.co/RPd8OcnYaq"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/RPd8OcnYaq</a>",Feb 18,348
10,"President <a href=""/mauriciomacri"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""24900072""><s>@</s><b>mauriciomacri</b></a> and I discussed aspects relating to security and terrorism. 

We agree that forces of terror pose a serious threat to world peace and it is important for humanitarian forces to join hands and fight the menace of terror.<a href=""https://t.co/I0tnbnIEhw"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/I0tnbnIEhw</a>",Feb 18,519
11,"Delighted to welcome President <a href=""/mauriciomacri"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""24900072""><s>@</s><b>mauriciomacri</b></a>. 

Today was our fifth meeting, indicating the priority we accord to close friendship between India and Argentina. 

We are meeting at a time when we complete 70 years of bilateral diplomatic ties between our countries.<a href=""https://t.co/Ocdg80K1Uz"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/Ocdg80K1Uz</a>",Feb 18,346
12,"Joined the programme to mark the conferring of the 'Tagore Award For Cultural Harmony' for 2014, 2015 and 2016.

I congratulate Rajkumar Singhajit Singh Ji, Chhayanaut and Ram V. Sutar Ji on being conferred the Tagore Award for their rich contribution to culture, art and music.<a href=""https://t.co/davsqdFHX4"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/davsqdFHX4</a>",Feb 18,565
13,"स्वस्थ बिहार, विकसित बिहार।<a href=""https://t.co/6SoF08nRLS"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/6SoF08nRLS</a>",Feb 17,1.4K
14,"हमारा प्रयास:

उत्तम इन्फ्रास्ट्रक्चर

गरीब का पक्का घर

हर घर में बिजली

रसोई को धुएं से मुक्त करना- गैस कनेक्शन

पीने का साफ पानी।<a href=""https://t.co/jMSfvjccNG"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/jMSfvjccNG</a>",Feb 17,2.8K
15,"आज कई ट्रेनों को हरी झंडी दिखाई। इनसे कनेक्टिविटी में सुधार आएगा। 

पटना रिवरफ्रंट बनने से पर्यटन को बढ़ावा मिलेगा।<a href=""https://t.co/H4g1hFkf0M"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/H4g1hFkf0M</a>",Feb 17,701
