,Restro_name,Branch_Name,Branch_url
0,Flechazo                                    ,Marathahalli,https://www.zomato.com/bangalore/flechazo-marathahalli?context=eyJzZSI6eyJlIjpbMTgzNTMxMjEsIjE4NjMxODQxIl0sInQiOiJGbGVjaGF6bywgQmVuZ2FsdXJ1In19
1,Flechazo                                    ,Whitefield,https://www.zomato.com/bangalore/flechazo-whitefield?context=eyJzZSI6eyJlIjpbIjE4MzUzMTIxIiwxODYzMTg0MV0sInQiOiJGbGVjaGF6bywgQmVuZ2FsdXJ1In19
2,XO Belgian Waffle                                     ,Koramangala 5th Block,https://www.zomato.com/bangalore/xo-belgian-waffle-koramangala-5th-block?context=eyJzZSI6eyJlIjpbMTg2MTIzNDgsIjE4NzMxNzM0Il0sInQiOiJYTyBCZWxnaWFuIFdhZmZsZSAsIEJlbmdhbHVydSJ9fQ==
3,XO Belgian Waffle                                    ,"Garuda Mall, Magrath Road",https://www.zomato.com/bangalore/xo-belgian-waffle-brigade-road-bangalore?context=eyJzZSI6eyJlIjpbIjE4NjEyMzQ4IiwxODczMTczNF0sInQiOiJYTyBCZWxnaWFuIFdhZmZsZSAsIEJlbmdhbHVydSJ9fQ==
4,The Black Pearl                                    ,Marathahalli,https://www.zomato.com/bangalore/the-black-pearl-marathahalli?context=eyJzZSI6eyJlIjpbMTgzODc0MjYsIjU0MTYyIl0sInQiOiJUaGUgQmxhY2sgUGVhcmwsIEJlbmdhbHVydSJ9fQ==
5,The Black Pearl                                    ,Koramangala 5th Block,https://www.zomato.com/bangalore/the-black-pearl-koramangala-5th-block?context=eyJzZSI6eyJlIjpbIjE4Mzg3NDI2Iiw1NDE2Ml0sInQiOiJUaGUgQmxhY2sgUGVhcmwsIEJlbmdhbHVydSJ9fQ==
6,Natural Ice Cream                                    ,Indiranagar,https://www.zomato.com/bangalore/natural-ice-cream-indiranagar?context=eyJzZSI6eyJlIjpbNTM3MTUsIjUwNzIzIl0sInQiOiJOYXR1cmFsIEljZSBDcmVhbSwgQmVuZ2FsdXJ1In19
7,Natural Ice Cream                                    ,Koramangala 1st Block,https://www.zomato.com/bangalore/natural-ice-cream-koramangala-1st-block?context=eyJzZSI6eyJlIjpbIjUzNzE1Iiw1MDcyM10sInQiOiJOYXR1cmFsIEljZSBDcmVhbSwgQmVuZ2FsdXJ1In19
8,Galito's                                    ,Whitefield,https://www.zomato.com/bangalore/galitos-whitefield?context=eyJzZSI6eyJlIjpbMTgzNDYzNjUsIjE4NzIxMDYzIl0sInQiOiJHYWxpdG8mIzM5O3MsIEJlbmdhbHVydSJ9fQ==
9,Galito's                                    ,"Vega City, Bannerghatta Road",https://www.zomato.com/bangalore/galitos-bannerghatta-road-bangalore?context=eyJzZSI6eyJlIjpbIjE4MzQ2MzY1IiwxODcyMTA2M10sInQiOiJHYWxpdG8mIzM5O3MsIEJlbmdhbHVydSJ9fQ==
10,Belgian Waffle Factory                                     ,Brigade Road,https://www.zomato.com/bangalore/belgian-waffle-factory-brigade-road?context=eyJzZSI6eyJlIjpbMTg1MTI0MDYsIjE4ODQ4MDgzIiwiMTg2ODQ3NzgiLCIxODU2ODU2MSJdLCJ0IjoiQmVsZ2lhbiBXYWZmbGUgRmFjdG9yeSAsIEJlbmdhbHVydSJ9fQ==
11,Belgian Waffle Factory                                    ,Koramangala 5th Block,https://www.zomato.com/bangalore/belgian-waffle-factory-koramangala-5th-block-bangalore?context=eyJzZSI6eyJlIjpbIjE4NTEyNDA2IiwxODg0ODA4MywiMTg2ODQ3NzgiLCIxODU2ODU2MSJdLCJ0IjoiQmVsZ2lhbiBXYWZmbGUgRmFjdG9yeSAsIEJlbmdhbHVydSJ9fQ==
12,Belgian Waffle Factory                                    ,Kalyan Nagar,https://www.zomato.com/bangalore/belgian-waffle-factory-kalyan-nagar-bangalore?context=eyJzZSI6eyJlIjpbIjE4NTEyNDA2IiwiMTg4NDgwODMiLDE4Njg0Nzc4LCIxODU2ODU2MSJdLCJ0IjoiQmVsZ2lhbiBXYWZmbGUgRmFjdG9yeSAsIEJlbmdhbHVydSJ9fQ==
13,Belgian Waffle Factory                                    ,Vasanth Nagar,https://www.zomato.com/bangalore/belgian-waffle-factory-1-vasanth-nagar?context=eyJzZSI6eyJlIjpbIjE4NTEyNDA2IiwiMTg4NDgwODMiLCIxODY4NDc3OCIsMTg1Njg1NjFdLCJ0IjoiQmVsZ2lhbiBXYWZmbGUgRmFjdG9yeSAsIEJlbmdhbHVydSJ9fQ==
14,eat.fit                                    ,HSR,https://www.zomato.com/bangalore/eat-fit-hsr-bangalore?context=eyJzZSI6eyJlIjpbMTg1NDgyOTMsIjE4NjI4NjU0IiwiMTg2NTcxMjciXSwidCI6ImVhdC5maXQsIEJlbmdhbHVydSJ9fQ==
15,eat.fit                                    ,BTM,https://www.zomato.com/bangalore/eat-fit-btm-bangalore?context=eyJzZSI6eyJlIjpbIjE4NTQ4MjkzIiwxODYyODY1NCwiMTg2NTcxMjciXSwidCI6ImVhdC5maXQsIEJlbmdhbHVydSJ9fQ==
16,eat.fit                                    ,Indiranagar,https://www.zomato.com/bangalore/eat-fit-indiranagar-bangalore?context=eyJzZSI6eyJlIjpbIjE4NTQ4MjkzIiwiMTg2Mjg2NTQiLDE4NjU3MTI3XSwidCI6ImVhdC5maXQsIEJlbmdhbHVydSJ9fQ==
17,Smoke House Deli                                    ,Indiranagar,https://www.zomato.com/SmokeHouseDeli-Indiranagar?context=eyJzZSI6eyJlIjpbNTQzOTcsIjU1Nzg4Il0sInQiOiJTbW9rZSBIb3VzZSBEZWxpLCBCZW5nYWx1cnUifX0=
18,Smoke House Deli                                    ,Lavelle Road,https://www.zomato.com/SmokeHouseDeli-LavelleRoad?context=eyJzZSI6eyJlIjpbIjU0Mzk3Iiw1NTc4OF0sInQiOiJTbW9rZSBIb3VzZSBEZWxpLCBCZW5nYWx1cnUifX0=
19,Corner House Ice Cream                                    ,Indiranagar,https://www.zomato.com/bangalore/corner-house-ice-cream-indiranagar?context=eyJzZSI6eyJlIjpbNTAzMTQsIjU5MTU5IiwiNTAzMTUiLCI1MDMwOCJdLCJ0IjoiQ29ybmVyIEhvdXNlIEljZSBDcmVhbSwgQmVuZ2FsdXJ1In19
20,Corner House Ice Cream                                    ,Marathahalli,https://www.zomato.com/bangalore/corner-house-ice-cream-1-marathahalli?context=eyJzZSI6eyJlIjpbIjUwMzE0Iiw1OTE1OSwiNTAzMTUiLCI1MDMwOCJdLCJ0IjoiQ29ybmVyIEhvdXNlIEljZSBDcmVhbSwgQmVuZ2FsdXJ1In19
21,Corner House Ice Cream                                    ,New BEL Road,https://www.zomato.com/bangalore/corner-house-ice-cream-new-bel-road?context=eyJzZSI6eyJlIjpbIjUwMzE0IiwiNTkxNTkiLDUwMzE1LCI1MDMwOCJdLCJ0IjoiQ29ybmVyIEhvdXNlIEljZSBDcmVhbSwgQmVuZ2FsdXJ1In19
22,Corner House Ice Cream                                    ,Koramangala 7th Block,https://www.zomato.com/bangalore/corner-house-ice-cream-koramangala-7th-block?context=eyJzZSI6eyJlIjpbIjUwMzE0IiwiNTkxNTkiLCI1MDMxNSIsNTAzMDhdLCJ0IjoiQ29ybmVyIEhvdXNlIEljZSBDcmVhbSwgQmVuZ2FsdXJ1In19
23,Chinita Real Mexican Food                                    ,Koramangala 5th Block,https://www.zomato.com/bangalore/chinita-real-mexican-food-koramangala-5th-block?context=eyJzZSI6eyJlIjpbMTg2MDg5OTIsIjU3NzM2Il0sInQiOiJDaGluaXRhIFJlYWwgTWV4aWNhbiBGb29kLCBCZW5nYWx1cnUifX0=
24,Chinita Real Mexican Food                                    ,Indiranagar,https://www.zomato.com/bangalore/chinita-real-mexican-food-indiranagar?context=eyJzZSI6eyJlIjpbIjE4NjA4OTkyIiw1NzczNl0sInQiOiJDaGluaXRhIFJlYWwgTWV4aWNhbiBGb29kLCBCZW5nYWx1cnUifX0=
25,Apsara Ice Cream                                    ,Indiranagar,https://www.zomato.com/bangalore/apsara-ice-cream-indiranagar?context=eyJzZSI6eyJlIjpbMTg1MzQxMzAsIjE4NjU4ODk3Il0sInQiOiJBcHNhcmEgSWNlIENyZWFtLCBCZW5nYWx1cnUifX0=
26,Apsara Ice Cream                                    ,HSR,https://www.zomato.com/bangalore/apsara-ice-cream-hsr-bangalore?context=eyJzZSI6eyJlIjpbIjE4NTM0MTMwIiwxODY1ODg5N10sInQiOiJBcHNhcmEgSWNlIENyZWFtLCBCZW5nYWx1cnUifX0=
27,Onesta                                    ,Marathahalli,https://www.zomato.com/bangalore/onesta-marathahalli?context=eyJzZSI6eyJlIjpbMTg2MTc4NTIsIjU5ODQwIiwiMTg3NjU0MzEiLCIxODUwMzcyMyIsIjE4NTY1Njc5IiwiMTgzNTk5MTkiLCIxODYxNzg0OSIsIjE4MzY2NjU0IiwiMTg1MDM3MjciLCIxODU2NTY4MiIsIjE4NTk3NDE0Il0sInQiOiJPbmVzdGEsIEJlbmdhbHVydSJ9fQ==
28,Onesta                                    ,Koramangala 4th Block,https://www.zomato.com/bangalore/onesta-koramangala-4th-block?context=eyJzZSI6eyJlIjpbIjE4NjE3ODUyIiw1OTg0MCwiMTg3NjU0MzEiLCIxODUwMzcyMyIsIjE4NTY1Njc5IiwiMTgzNTk5MTkiLCIxODYxNzg0OSIsIjE4MzY2NjU0IiwiMTg1MDM3MjciLCIxODU2NTY4MiIsIjE4NTk3NDE0IiwiMTgzNjY2NTIiXSwidCI6Ik9uZXN0YSwgQmVuZ2FsdXJ1In19
29,Onesta                                    ,Electronic City,https://www.zomato.com/bangalore/onesta-electronic-city-bangalore?context=eyJzZSI6eyJlIjpbIjE4NjE3ODUyIiwiNTk4NDAiLDE4NzY1NDMxLCIxODUwMzcyMyIsIjE4NTY1Njc5IiwiMTgzNTk5MTkiLCIxODYxNzg0OSIsIjE4MzY2NjU0IiwiMTg1MDM3MjciLCIxODU2NTY4MiIsIjE4NTk3NDE0IiwiMTgzNjY2NTIiXSwidCI6Ik9uZXN0YSwgQmVuZ2FsdXJ1In19
30,Onesta                                    ,HSR,https://www.zomato.com/bangalore/onesta-hsr?context=eyJzZSI6eyJlIjpbIjE4NjE3ODUyIiwiNTk4NDAiLCIxODc2NTQzMSIsMTg1MDM3MjMsIjE4NTY1Njc5IiwiMTgzNTk5MTkiLCIxODYxNzg0OSIsIjE4MzY2NjU0IiwiMTg1MDM3MjciLCIxODU2NTY4MiIsIjE4NTk3NDE0IiwiMTgzNjY2NTIiXSwidCI6Ik9uZXN0YSwgQmVuZ2FsdXJ1In19
31,Onesta                                    ,Banashankari,https://www.zomato.com/bangalore/onesta-banashankari?context=eyJzZSI6eyJlIjpbIjE4NjE3ODUyIiwiNTk4NDAiLCIxODc2NTQzMSIsIjE4NTAzNzIzIiwxODU2NTY3OSwiMTgzNTk5MTkiLCIxODYxNzg0OSIsIjE4MzY2NjU0IiwiMTg1MDM3MjciLCIxODU2NTY4MiIsIjE4NTk3NDE0IiwiMTgzNjY2NTIiXSwidCI6Ik9uZXN0YSwgQmVuZ2FsdXJ1In19
32,Onesta                                    ,JP Nagar,https://www.zomato.com/bangalore/onesta-jp-nagar?context=eyJzZSI6eyJlIjpbIjU5ODQwIiwiMTg3NjU0MzEiLCIxODUwMzcyMyIsIjE4NTY1Njc5IiwxODM1OTkxOSwiMTg2MTc4NDkiLCIxODM2NjY1NCIsIjE4NTAzNzI3IiwiMTg1NjU2ODIiLCIxODU5NzQxNCIsIjE4MzY2NjUyIl0sInQiOiJPbmVzdGEsIEJlbmdhbHVydSJ9fQ==
33,Onesta                                    ,Rajarajeshwari Nagar,https://www.zomato.com/bangalore/onesta-rajarajeshwari-nagar?context=eyJzZSI6eyJlIjpbIjE4NzY1NDMxIiwiMTg1MDM3MjMiLCIxODU2NTY3OSIsIjE4MzU5OTE5IiwxODYxNzg0OSwiMTgzNjY2NTQiLCIxODUwMzcyNyIsIjE4NTY1NjgyIiwiMTg1OTc0MTQiLCIxODM2NjY1MiJdLCJ0IjoiT25lc3RhLCBCZW5nYWx1cnUifX0=
34,Onesta                                    ,Kammanahalli,https://www.zomato.com/bangalore/onesta-kammanahalli?context=eyJzZSI6eyJlIjpbIjE4NTAzNzIzIiwiMTg1NjU2NzkiLCIxODM1OTkxOSIsIjE4NjE3ODQ5IiwxODM2NjY1NCwiMTg1MDM3MjciLCIxODU2NTY4MiIsIjE4NTk3NDE0IiwiMTgzNjY2NTIiXSwidCI6Ik9uZXN0YSwgQmVuZ2FsdXJ1In19
35,Onesta                                    ,Whitefield,https://www.zomato.com/bangalore/onesta-whitefield?context=eyJzZSI6eyJlIjpbIjE4NTY1Njc5IiwiMTgzNTk5MTkiLCIxODYxNzg0OSIsIjE4MzY2NjU0IiwxODUwMzcyNywiMTg1NjU2ODIiLCIxODU5NzQxNCIsIjE4MzY2NjUyIl0sInQiOiJPbmVzdGEsIEJlbmdhbHVydSJ9fQ==
36,Onesta                                    ,Yelahanka,https://www.zomato.com/bangalore/onesta-yelahanka?context=eyJzZSI6eyJlIjpbIjE4MzU5OTE5IiwiMTg2MTc4NDkiLCIxODM2NjY1NCIsIjE4NTAzNzI3IiwxODU2NTY4MiwiMTg1OTc0MTQiLCIxODM2NjY1MiJdLCJ0IjoiT25lc3RhLCBCZW5nYWx1cnUifX0=
37,Onesta                                    ,Basavanagudi,https://www.zomato.com/bangalore/onesta-basavanagudi?context=eyJzZSI6eyJlIjpbIjE4NjE3ODQ5IiwiMTgzNjY2NTQiLCIxODUwMzcyNyIsIjE4NTY1NjgyIiwxODU5NzQxNCwiMTgzNjY2NTIiXSwidCI6Ik9uZXN0YSwgQmVuZ2FsdXJ1In19
38,Onesta                                    ,New BEL Road,https://www.zomato.com/bangalore/onesta-new-bel-road?context=eyJzZSI6eyJlIjpbIjE4MzY2NjU0IiwiMTg1MDM3MjciLCIxODU2NTY4MiIsIjE4NTk3NDE0IiwxODM2NjY1Ml0sInQiOiJPbmVzdGEsIEJlbmdhbHVydSJ9fQ==
39,Hammered                                    ,Cunningham Road,https://www.zomato.com/bangalore/hammered-cunningham-road?context=eyJzZSI6eyJlIjpbMTgzMDg3NTYsIjE4NDgwMDE2Il0sInQiOiJIYW1tZXJlZCwgQmVuZ2FsdXJ1In19
40,Hammered                                    ,New BEL Road,https://www.zomato.com/bangalore/hammered-new-bel-road-bangalore?context=eyJzZSI6eyJlIjpbIjE4MzA4NzU2IiwxODQ4MDAxNl0sInQiOiJIYW1tZXJlZCwgQmVuZ2FsdXJ1In19
41,Pasta Street                                    ,Indiranagar,https://www.zomato.com/bangalore/pasta-street-indiranagar?context=eyJzZSI6eyJlIjpbMTg0MDg3NDIsIjUzNDk3Il0sInQiOiJQYXN0YSBTdHJlZXQsIEJlbmdhbHVydSJ9fQ==
42,Pasta Street                                    ,Cunningham Road,https://www.zomato.com/bangalore/pasta-street-cunningham-road?context=eyJzZSI6eyJlIjpbIjE4NDA4NzQyIiw1MzQ5N10sInQiOiJQYXN0YSBTdHJlZXQsIEJlbmdhbHVydSJ9fQ==
43,Byg Brewski Brewing Company                                    ,Hennur,https://www.zomato.com/bangalore/byg-brewski-brewing-company-hennur-bangalore?context=eyJzZSI6eyJlIjpbMTg3MDY0MjgsIjU4ODgyIl0sInQiOiJCeWcgQnJld3NraSBCcmV3aW5nIENvbXBhbnksIEJlbmdhbHVydSJ9fQ==
44,Byg Brewski Brewing Company                                    ,Sarjapur Road,https://www.zomato.com/bangalore/byg-brewski-brewing-company-sarjapur-road-bangalore?context=eyJzZSI6eyJlIjpbIjE4NzA2NDI4Iiw1ODg4Ml0sInQiOiJCeWcgQnJld3NraSBCcmV3aW5nIENvbXBhbnksIEJlbmdhbHVydSJ9fQ==
45,Truffles                                    ,Koramangala 5th Block,https://www.zomato.com/bangalore/truffles-koramangala-5th-block?context=eyJzZSI6eyJlIjpbNTEwNDAsIjE4NjMxODM5IiwiNTEwMzgiLCI1MTAzOSIsIjYwNDQ5Il0sInQiOiJUcnVmZmxlcywgQmVuZ2FsdXJ1In19
46,Truffles                                    ,Indiranagar,https://www.zomato.com/bangalore/truffles-indiranagar?context=eyJzZSI6eyJlIjpbIjUxMDQwIiwxODYzMTgzOSwiNTEwMzgiLCI1MTAzOSIsIjYwNDQ5Il0sInQiOiJUcnVmZmxlcywgQmVuZ2FsdXJ1In19
