,Restro_name,Restro_link,Avg_rating,Location
0,XOOX Brewmill,https://www.zomato.com/bangalore/xoox-brewmill-koramangala-5th-block-bangalore?zrp_bid=235550&zrp_pid=14&zrp_cid=325911&context=eyJjIjp7ImUiOlsxODcyNzkwNiwiMTg2MjU0MjAiLCIxODQ5MjkxMCIsIjE4NzA0Nzk1IiwiMTg3NDQzMjYiLDE4MzUzMTIxLCIxODUzNzU4NSIsMTg2MTIzNDgsIjE4NDM5NjM0IiwiNTA0NjIiLCIxODU5NDkzNyJdLCJ0IjoiQmVuZ2FsdXJ1JiMwMzk7cyBGaW5lc3QgIn19,4.5,"Koramangala 5th Block, Bangalore"
1,Burma Burma,https://www.zomato.com/bangalore/burma-burma-indiranagar-bangalore?zrp_bid=230953&zrp_pid=14&zrp_cid=323323&context=eyJjIjp7ImUiOlsiMTg3Mjc5MDYiLDE4NjI1NDIwLCIxODQ5MjkxMCIsIjE4NzA0Nzk1IiwiMTg3NDQzMjYiLDE4MzUzMTIxLCIxODUzNzU4NSIsMTg2MTIzNDgsIjE4NDM5NjM0IiwiNTA0NjIiLCIxODU5NDkzNyIsIjE4Njc1NDU5Il0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,4.6,"Indiranagar, Bangalore"
2,Red Rhino,https://www.zomato.com/bangalore/red-rhino-whitefield?zrp_bid=175726&zrp_pid=14&zrp_cid=287709&context=eyJjIjp7ImUiOlsiMTg3Mjc5MDYiLCIxODYyNTQyMCIsMTg0OTI5MTAsIjE4NzA0Nzk1IiwiMTg3NDQzMjYiLDE4MzUzMTIxLCIxODUzNzU4NSIsMTg2MTIzNDgsIjE4NDM5NjM0IiwiNTA0NjIiLCIxODU5NDkzNyIsIjE4Njc1NDU5IiwiNTk0NDYiXSwidCI6IkJlbmdhbHVydSYjMDM5O3MgRmluZXN0ICJ9fQ==,4.5,"Whitefield, Bangalore"
3,Output Bengaluru,https://www.zomato.com/bangalore/output-bengaluru-marathahalli-bangalore?zrp_bid=199283&zrp_pid=14&zrp_cid=304032&context=eyJjIjp7ImUiOlsiMTg3Mjc5MDYiLCIxODYyNTQyMCIsIjE4NDkyOTEwIiwxODcwNDc5NSwiMTg3NDQzMjYiLDE4MzUzMTIxLCIxODUzNzU4NSIsMTg2MTIzNDgsIjE4NDM5NjM0IiwiNTA0NjIiLCIxODU5NDkzNyIsIjE4Njc1NDU5IiwiNTk0NDYiLCI1Mzg3MiJdLCJ0IjoiQmVuZ2FsdXJ1JiMwMzk7cyBGaW5lc3QgIn19,4.6,"Soul Space Arena Mall, Marathahalli, Bangalore"
4,The Old Fashioned Bar,https://www.zomato.com/bangalore/the-old-fashioned-bar-koramangala-6th-block-bangalore?zrp_bid=237991&zrp_pid=14&zrp_cid=327283&context=eyJjIjp7ImUiOlsiMTg3Mjc5MDYiLCIxODYyNTQyMCIsIjE4NDkyOTEwIiwiMTg3MDQ3OTUiLDE4NzQ0MzI2LDE4MzUzMTIxLCIxODUzNzU4NSIsMTg2MTIzNDgsIjE4NDM5NjM0IiwiNTA0NjIiLCIxODU5NDkzNyIsIjE4Njc1NDU5IiwiNTk0NDYiLCI1Mzg3MiIsIjU0MDQ0Il0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,4.6,"Koramangala 6th Block, Bangalore"
5,Flechazo,https://www.zomato.com/bangalore/restaurants/flechazo?filterby_collection_id=274852&zrp_bid=0&zrp_pid=14,4.6,2 Outlets ›
6,The Reservoire,https://www.zomato.com/bangalore/the-reservoire-koramangala-5th-block?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg0OTI5MTAiLCIxODcwNDc5NSIsIjE4NzQ0MzI2IiwxODM1MzEyMSwxODUzNzU4NSwxODYxMjM0OCwiMTg0Mzk2MzQiLCI1MDQ2MiIsIjE4NTk0OTM3IiwiMTg2NzU0NTkiLCI1OTQ0NiIsIjUzODcyIiwiNTQwNDQiLCIxODIyNDY1MCIsNTQxNjJdLCJ0IjoiQmVuZ2FsdXJ1JiMwMzk7cyBGaW5lc3QgIn19,4.6,"Koramangala 5th Block, Bangalore"
7,XO Belgian Waffle ,https://www.zomato.com/bangalore/restaurants/xo-belgian-waffle?filterby_collection_id=274852&zrp_bid=0&zrp_pid=14,4.6,2 Outlets ›
8,ECHOES Koramangala,https://www.zomato.com/bangalore/echoes-koramangala-koramangala-5th-block?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg3NDQzMjYiLDE4MzUzMTIxLCIxODUzNzU4NSIsMTg2MTIzNDgsMTg0Mzk2MzQsIjUwNDYyIiwiMTg1OTQ5MzciLCIxODY3NTQ1OSIsIjU5NDQ2IiwiNTM4NzIiLCI1NDA0NCIsIjE4MjI0NjUwIiw1NDE2MiwiMTg0NzkxOTkiLCIxODQzMDc4NSJdLCJ0IjoiQmVuZ2FsdXJ1JiMwMzk7cyBGaW5lc3QgIn19,4.8,"Koramangala 5th Block, Bangalore"
9,Hard Rock Cafe,https://www.zomato.com/bangalore/hard-rock-cafe-st-marks-road?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsxODM1MzEyMSwiMTg1Mzc1ODUiLDE4NjEyMzQ4LCIxODQzOTYzNCIsNTA0NjIsIjE4NTk0OTM3IiwiMTg2NzU0NTkiLCI1OTQ0NiIsIjUzODcyIiwiNTQwNDQiLCIxODIyNDY1MCIsNTQxNjIsIjE4NDc5MTk5IiwiMTg0MzA3ODUiLCIxODYxNDEwNiJdLCJ0IjoiQmVuZ2FsdXJ1JiMwMzk7cyBGaW5lc3QgIn19,4.5,"St. Marks Road, Bangalore"
